date,price
2023-02-28,232.65
2023-03-01,229.5
2023-03-02,229
2023-03-03,225
2023-03-06,230.5
2023-03-07,233.5
2023-03-08,226.6
2023-03-09,223.55
2023-03-10,227.2
2023-03-13,229.05
2023-03-14,224.1
2023-03-15,220.35000000000002
2023-03-16,228
2023-03-17,223.45000000000002
2023-03-20,225.95000000000002
2023-03-21,228.35000000000002
2023-03-22,225.3
2023-03-23,222
2023-03-24,228.55
2023-03-27,225.45000000000002
2023-03-28,221.3
2023-03-29,215.95000000000002
2023-03-30,220.5
2023-03-31,223
2023-04-03,230.6
2023-04-04,228.75
2023-04-05,236.5
2023-04-06,240
2023-04-10,238.7
2023-04-11,245
2023-04-12,244.65
2023-04-13,252.4
2023-04-14,248.85000000000002
2023-04-17,258.9
2023-04-18,260
2023-04-19,256.45
2023-04-20,247.15
2023-04-24,244.95000000000002
2023-04-25,237
2023-04-26,241.5
2023-04-27,231.5
2023-04-28,228.5
2023-05-02,231.6
2023-05-03,229.95000000000002
2023-05-04,226.6
2023-05-05,233.35000000000002
2023-05-08,227.95000000000002
2023-05-09,224.9
2023-05-10,224.15
2023-05-11,220.25
2023-05-12,220.05
2023-05-15,228.7
2023-05-16,225.25
2023-05-17,224.25
2023-05-18,225.05
2023-05-19,232.15
2023-05-22,228.45000000000002
2023-05-23,226.15
2023-05-24,226.9
2023-05-25,219.9
2023-05-26,218.45000000000002
2023-05-29,218.45000000000002
2023-05-30,212.5
2023-05-31,214.55
2023-06-01,220.35000000000002
2023-06-02,216.7
2023-06-05,220.4
2023-06-06,219.75
2023-06-07,223.45000000000002
2023-06-09,230.4
2023-06-12,223.65
2023-06-13,213.25
2023-06-14,215.45000000000002
2023-06-15,218.9
2023-06-16,216.1
2023-06-19,216.1
2023-06-20,206.25
2023-06-21,199.05
2023-06-22,198.65
2023-06-23,193.8
2023-06-26,193.65
2023-06-27,195.65
2023-06-28,190.6
2023-06-29,187.9
2023-06-30,184.45000000000002
2023-07-03,190.25
2023-07-04,189.65
2023-07-05,187.55
2023-07-06,189.6
2023-07-07,190.5
2023-07-10,190.8
2023-07-11,186.65
2023-07-12,185.9
2023-07-13,187.95000000000002
2023-07-14,189.5
2023-07-17,185.65
2023-07-18,187.1
2023-07-19,186.05
2023-07-20,189.4
2023-07-21,191.45000000000002
2023-07-24,194.35000000000002
2023-07-25,192.85000000000002
2023-07-26,194.95000000000002
2023-07-27,194
2023-07-28,189.3
2023-07-31,195.95000000000002
2023-08-01,195.8
2023-08-02,198.95000000000002
2023-08-03,197.65
2023-08-04,194.55
2023-08-07,197.5
2023-08-08,194.05
2023-08-09,192.9
2023-08-10,193.6
2023-08-11,191.3
2023-08-14,186.2
2023-08-15,187
2023-08-16,189
2023-08-17,188
2023-08-18,190
2023-08-21,190.15
2023-08-22,188.9
2023-08-23,191.5
2023-08-24,190.55
2023-08-25,189.2
2023-08-28,189.25
2023-08-29,187.1
2023-08-30,189.75
2023-08-31,190
2023-09-01,185.5
2023-09-04,184.8
2023-09-05,186.55
2023-09-06,186.05
2023-09-08,180.45000000000002
2023-09-11,185.95000000000002
2023-09-12,185.5
2023-09-13,185.75
2023-09-14,186.55
2023-09-15,193.4
2023-09-18,195.5
2023-09-19,196.25
2023-09-20,194.15
2023-09-21,190.05
2023-09-22,186
